"Labor Force Data by County, 2014 Annual Averages",,,,,,,,,
,,,,,,,,,
,State,County,,,,,,,Unemploy-
CN2713900000000,27,139,"Scott County, MN",2014,,"78,425     ","75,606     ","2,819     ",3.6     
CN2714100000000,27,141,"Sherburne County, MN",2014,,"49,366     ","47,130     ","2,236     ",4.5     
CN2714300000000,27,143,"Sibley County, MN",2014,,"8,294     ","7,913     ",381     ,4.6     
CN2714500000000,27,145,"Stearns County, MN",2014,,"88,013     ","84,428     ","3,585     ",4.1     
CN2714700000000,27,147,"Steele County, MN",2014,,"21,373     ","20,567     ",806     ,3.8     
CN2714900000000,27,149,"Stevens County, MN",2014,,"5,588     ","5,407     ",181     ,3.2     
CN2715100000000,27,151,"Swift County, MN",2014,,"4,884     ","4,648     ",236     ,4.8     
CN2715300000000,27,153,"Todd County, MN",2014,,"12,860     ","12,263     ",597     ,4.6     
CN2715500000000,27,155,"Traverse County, MN",2014,,"1,717     ","1,638     ",79     ,4.6     
CN2715700000000,27,157,"Wabasha County, MN",2014,,"11,765     ","11,292     ",473     ,4.0     
CN2715900000000,27,159,"Wadena County, MN",2014,,"6,160     ","5,779     ",381     ,6.2     
CN2716100000000,27,161,"Waseca County, MN",2014,,"9,703     ","9,237     ",466     ,4.8     
CN2716300000000,27,163,"Washington County, MN",2014,,"136,504     ","131,547     ","4,957     ",3.6     
CN2716500000000,27,165,"Watonwan County, MN",2014,,"6,180     ","5,877     ",303     ,4.9     
CN2716700000000,27,167,"Wilkin County, MN",2014,,"3,604     ","3,482     ",122     ,3.4     
CN2716900000000,27,169,"Winona County, MN",2014,,"29,443     ","28,347     ","1,096     ",3.7     
CN2717100000000,27,171,"Wright County, MN",2014,,"71,426     ","68,421     ","3,005     ",4.2     
CN2717300000000,27,173,"Yellow Medicine County, MN",2014,,"5,505     ","5,278     ",227     ,4.1     
CN2800100000000,28,001,"Adams County, MS",2014,,"11,616     ","10,643     ",973     ,8.4     
CN2800300000000,28,003,"Alcorn County, MS",2014,,"15,152     ","14,139     ","1,013     ",6.7     
CN2800500000000,28,005,"Amite County, MS",2014,,"4,456     ","4,096     ",360     ,8.1     
CN2800700000000,28,007,"Attala County, MS",2014,,"7,052     ","6,434     ",618     ,8.8     
CN2800900000000,28,009,"Benton County, MS",2014,,"2,981     ","2,703     ",278     ,9.3     
CN2801100000000,28,011,"Bolivar County, MS",2014,,"13,322     ","12,047     ","1,275     ",9.6     
CN2801300000000,28,013,"Calhoun County, MS",2014,,"6,249     ","5,779     ",470     ,7.5     
CN2801500000000,28,015,"Carroll County, MS",2014,,"3,411     ","3,091     ",320     ,9.4     
CN2801700000000,28,017,"Chickasaw County, MS",2014,,"7,217     ","6,511     ",706     ,9.8     
CN2801900000000,28,019,"Choctaw County, MS",2014,,"3,572     ","3,289     ",283     ,7.9     
CN2802100000000,28,021,"Claiborne County, MS",2014,,"3,116     ","2,657     ",459     ,14.7     
CN2802300000000,28,023,"Clarke County, MS",2014,,"6,276     ","5,709     ",567     ,9.0     
CN2802500000000,28,025,"Clay County, MS",2014,,"7,988     ","6,928     ","1,060     ",13.3     
CN2802700000000,28,027,"Coahoma County, MS",2014,,"9,569     ","8,440     ","1,129     ",11.8     
CN2802900000000,28,029,"Copiah County, MS",2014,,"11,181     ","10,185     ",996     ,8.9     
CN2803100000000,28,031,"Covington County, MS",2014,,"7,843     ","7,327     ",516     ,6.6     
CN2803300000000,28,033,"DeSoto County, MS",2014,,"81,422     ","77,056     ","4,366     ",5.4     
CN2803500000000,28,035,"Forrest County, MS",2014,,"32,316     ","29,912     ","2,404     ",7.4     
CN2803700000000,28,037,"Franklin County, MS",2014,,"2,912     ","2,666     ",246     ,8.4     
CN2803900000000,28,039,"George County, MS",2014,,"8,931     ","8,190     ",741     ,8.3     
CN2804100000000,28,041,"Greene County, MS",2014,,"4,399     ","4,006     ",393     ,8.9     
CN2804300000000,28,043,"Grenada County, MS",2014,,"9,307     ","8,633     ",674     ,7.2     
CN2804500000000,28,045,"Hancock County, MS",2014,,"18,495     ","17,152     ","1,343     ",7.3     
CN2804700000000,28,047,"Harrison County, MS",2014,,"84,861     ","79,132     ","5,729     ",6.8     
CN2804900000000,28,049,"Hinds County, MS",2014,,"108,205     ","100,348     ","7,857     ",7.3     
CN2805100000000,28,051,"Holmes County, MS",2014,,"6,145     ","5,223     ",922     ,15.0     
CN2805300000000,28,053,"Humphreys County, MS",2014,,"2,569     ","2,158     ",411     ,16.0     
CN2805500000000,28,055,"Issaquena County, MS",2014,,427     ,353     ,74     ,17.3     
CN2805700000000,28,057,"Itawamba County, MS",2014,,"9,906     ","9,196     ",710     ,7.2     
CN2805900000000,28,059,"Jackson County, MS",2014,,"59,166     ","54,411     ","4,755     ",8.0     
CN2806100000000,28,061,"Jasper County, MS",2014,,"6,436     ","5,890     ",546     ,8.5     
CN2806300000000,28,063,"Jefferson County, MS",2014,,"2,404     ","2,019     ",385     ,16.0     
CN2806500000000,28,065,"Jefferson Davis County, MS",2014,,"4,117     ","3,700     ",417     ,10.1     
CN2806700000000,28,067,"Jones County, MS",2014,,"26,702     ","25,041     ","1,661     ",6.2     
CN2806900000000,28,069,"Kemper County, MS",2014,,"3,755     ","3,274     ",481     ,12.8     
CN2807100000000,28,071,"Lafayette County, MS",2014,,"23,298     ","21,805     ","1,493     ",6.4     
CN2807300000000,28,073,"Lamar County, MS",2014,,"27,800     ","26,373     ","1,427     ",5.1     
CN2807500000000,28,075,"Lauderdale County, MS",2014,,"32,613     ","30,148     ","2,465     ",7.6     
CN2807700000000,28,077,"Lawrence County, MS",2014,,"4,534     ","4,148     ",386     ,8.5     
CN2807900000000,28,079,"Leake County, MS",2014,,"7,839     ","7,280     ",559     ,7.1     
CN2808100000000,28,081,"Lee County, MS",2014,,"38,884     ","36,063     ","2,821     ",7.3     
CN2808300000000,28,083,"Leflore County, MS",2014,,"10,566     ","9,230     ","1,336     ",12.6     
CN2808500000000,28,085,"Lincoln County, MS",2014,,"13,762     ","12,845     ",917     ,6.7     
CN2808700000000,28,087,"Lowndes County, MS",2014,,"25,299     ","23,078     ","2,221     ",8.8     
CN2808900000000,28,089,"Madison County, MS",2014,,"49,814     ","47,185     ","2,629     ",5.3     
CN2809100000000,28,091,"Marion County, MS",2014,,"9,912     ","9,088     ",824     ,8.3     
CN2809300000000,28,093,"Marshall County, MS",2014,,"14,377     ","13,123     ","1,254     ",8.7     
CN2809500000000,28,095,"Monroe County, MS",2014,,"15,475     ","13,914     ","1,561     ",10.1     
CN2809700000000,28,097,"Montgomery County, MS",2014,,"4,200     ","3,810     ",390     ,9.3     
CN2809900000000,28,099,"Neshoba County, MS",2014,,"10,792     ","10,055     ",737     ,6.8     
CN2810100000000,28,101,"Newton County, MS",2014,,"8,781     ","8,193     ",588     ,6.7     
CN2810300000000,28,103,"Noxubee County, MS",2014,,"4,006     ","3,508     ",498     ,12.4     
CN2810500000000,28,105,"Oktibbeha County, MS",2014,,"22,105     ","20,510     ","1,595     ",7.2     
CN2810700000000,28,107,"Panola County, MS",2014,,"13,431     ","12,009     ","1,422     ",10.6     
CN2810900000000,28,109,"Pearl River County, MS",2014,,"22,358     ","20,853     ","1,505     ",6.7     
CN2811100000000,28,111,"Perry County, MS",2014,,"4,210     ","3,825     ",385     ,9.1     
CN2811300000000,28,113,"Pike County, MS",2014,,"14,558     ","13,349     ","1,209     ",8.3     
CN2811500000000,28,115,"Pontotoc County, MS",2014,,"13,496     ","12,578     ",918     ,6.8     
CN2811700000000,28,117,"Prentiss County, MS",2014,,"10,870     ","10,053     ",817     ,7.5     
CN2811900000000,28,119,"Quitman County, MS",2014,,"2,752     ","2,393     ",359     ,13.0     
CN2812100000000,28,121,"Rankin County, MS",2014,,"71,051     ","67,744     ","3,307     ",4.7     
CN2812300000000,28,123,"Scott County, MS",2014,,"12,684     ","11,984     ",700     ,5.5     
CN2812500000000,28,125,"Sharkey County, MS",2014,,"1,773     ","1,576     ",197     ,11.1     
CN2812700000000,28,127,"Simpson County, MS",2014,,"10,774     ","10,081     ",693     ,6.4     
CN2812900000000,28,129,"Smith County, MS",2014,,"6,737     ","6,342     ",395     ,5.9     
CN2813100000000,28,131,"Stone County, MS",2014,,"6,339     ","5,795     ",544     ,8.6     
CN2813300000000,28,133,"Sunflower County, MS",2014,,"8,674     ","7,584     ","1,090     ",12.6     
CN2813500000000,28,135,"Tallahatchie County, MS",2014,,"5,842     ","5,304     ",538     ,9.2     
CN2813700000000,28,137,"Tate County, MS",2014,,"11,787     ","10,785     ","1,002     ",8.5     
CN2813900000000,28,139,"Tippah County, MS",2014,,"8,736     ","8,008     ",728     ,8.3     
CN2814100000000,28,141,"Tishomingo County, MS",2014,,"7,601     ","7,012     ",589     ,7.7     
CN2814300000000,28,143,"Tunica County, MS",2014,,"4,766     ","4,202     ",564     ,11.8     
CN2814500000000,28,145,"Union County, MS",2014,,"12,865     ","12,067     ",798     ,6.2     
CN2814700000000,28,147,"Walthall County, MS",2014,,"5,161     ","4,673     ",488     ,9.5     
CN2814900000000,28,149,"Warren County, MS",2014,,"20,968     ","19,355     ","1,613     ",7.7     
CN2815100000000,28,151,"Washington County, MS",2014,,"18,385     ","16,075     ","2,310     ",12.6     
CN2815300000000,28,153,"Wayne County, MS",2014,,"7,743     ","7,056     ",687     ,8.9     
CN2815500000000,28,155,"Webster County, MS",2014,,"3,974     ","3,627     ",347     ,8.7     
CN2815700000000,28,157,"Wilkinson County, MS",2014,,"2,837     ","2,513     ",324     ,11.4     
CN2815900000000,28,159,"Winston County, MS",2014,,"7,166     ","6,445     ",721     ,10.1     
CN2816100000000,28,161,"Yalobusha County, MS",2014,,"4,932     ","4,472     ",460     ,9.3     
CN2816300000000,28,163,"Yazoo County, MS",2014,,"9,287     ","8,361     ",926     ,10.0     
CN2900100000000,29,001,"Adair County, MO",2014,,"10,613     ","9,926     ",687     ,6.5     
CN2900300000000,29,003,"Andrew County, MO",2014,,"9,868     ","9,358     ",510     ,5.2     
CN2900500000000,29,005,"Atchison County, MO",2014,,"2,877     ","2,721     ",156     ,5.4     
CN2900700000000,29,007,"Audrain County, MO",2014,,"11,255     ","10,624     ",631     ,5.6     
CN2900900000000,29,009,"Barry County, MO",2014,,"14,832     ","13,918     ",914     ,6.2     
CN2901100000000,29,011,"Barton County, MO",2014,,"5,495     ","5,149     ",346     ,6.3     
CN2901300000000,29,013,"Bates County, MO",2014,,"8,112     ","7,537     ",575     ,7.1     
CN2901500000000,29,015,"Benton County, MO",2014,,"7,190     ","6,629     ",561     ,7.8     
CN2901700000000,29,017,"Bollinger County, MO",2014,,"5,654     ","5,270     ",384     ,6.8     
CN2901900000000,29,019,"Boone County, MO",2014,,"97,794     ","93,703     ","4,091     ",4.2     
CN2902100000000,29,021,"Buchanan County, MO",2014,,"46,341     ","43,691     ","2,650     ",5.7     
CN2902300000000,29,023,"Butler County, MO",2014,,"19,122     ","17,771     ","1,351     ",7.1     
CN2902500000000,29,025,"Caldwell County, MO",2014,,"4,341     ","4,102     ",239     ,5.5     
CN2902700000000,29,027,"Callaway County, MO",2014,,"21,823     ","20,591     ","1,232     ",5.6     
CN2902900000000,29,029,"Camden County, MO",2014,,"18,835     ","17,298     ","1,537     ",8.2     
CN2903100000000,29,031,"Cape Girardeau County, MO",2014,,"40,735     ","38,503     ","2,232     ",5.5     
CN2903300000000,29,033,"Carroll County, MO",2014,,"4,747     ","4,407     ",340     ,7.2     
CN2903500000000,29,035,"Carter County, MO",2014,,"2,561     ","2,332     ",229     ,8.9     
CN2903700000000,29,037,"Cass County, MO",2014,,"52,901     ","49,863     ","3,038     ",5.7     
CN2903900000000,29,039,"Cedar County, MO",2014,,"5,871     ","5,497     ",374     ,6.4     
CN2904100000000,29,041,"Chariton County, MO",2014,,"3,857     ","3,633     ",224     ,5.8     
CN2904300000000,29,043,"Christian County, MO",2014,,"42,267     ","40,180     ","2,087     ",4.9     
CN2904500000000,29,045,"Clark County, MO",2014,,"3,444     ","3,205     ",239     ,6.9     
CN2904700000000,29,047,"Clay County, MO",2014,,"129,627     ","122,571     ","7,056     ",5.4     
CN2904900000000,29,049,"Clinton County, MO",2014,,"10,705     ","10,073     ",632     ,5.9     
CN2905100000000,29,051,"Cole County, MO",2014,,"39,719     ","37,718     ","2,001     ",5.0     
CN2905300000000,29,053,"Cooper County, MO",2014,,"7,663     ","7,204     ",459     ,6.0     
CN2905500000000,29,055,"Crawford County, MO",2014,,"10,903     ","10,033     ",870     ,8.0     
CN2905700000000,29,057,"Dade County, MO",2014,,"3,515     ","3,303     ",212     ,6.0     
CN2905900000000,29,059,"Dallas County, MO",2014,,"6,978     ","6,446     ",532     ,7.6     
CN2906100000000,29,061,"Daviess County, MO",2014,,"4,043     ","3,807     ",236     ,5.8     
CN2906300000000,29,063,"DeKalb County, MO",2014,,"4,980     ","4,709     ",271     ,5.4     
CN2906500000000,29,065,"Dent County, MO",2014,,"6,279     ","5,854     ",425     ,6.8     
CN2906700000000,29,067,"Douglas County, MO",2014,,"5,036     ","4,650     ",386     ,7.7     
CN2906900000000,29,069,"Dunklin County, MO",2014,,"13,155     ","11,965     ","1,190     ",9.0     
CN2907100000000,29,071,"Franklin County, MO",2014,,"52,177     ","48,793     ","3,384     ",6.5     
CN2907300000000,29,073,"Gasconade County, MO",2014,,"7,631     ","7,226     ",405     ,5.3     
CN2907500000000,29,075,"Gentry County, MO",2014,,"3,641     ","3,435     ",206     ,5.7     
CN2907700000000,29,077,"Greene County, MO",2014,,"147,593     ","140,394     ","7,199     ",4.9     
CN2907900000000,29,079,"Grundy County, MO",2014,,"4,910     ","4,649     ",261     ,5.3     
CN2908100000000,29,081,"Harrison County, MO",2014,,"3,988     ","3,726     ",262     ,6.6     
CN2908300000000,29,083,"Henry County, MO",2014,,"10,138     ","9,478     ",660     ,6.5     
CN2908500000000,29,085,"Hickory County, MO",2014,,"3,702     ","3,392     ",310     ,8.4     
CN2908700000000,29,087,"Holt County, MO",2014,,"2,702     ","2,569     ",133     ,4.9     
CN2908900000000,29,089,"Howard County, MO",2014,,"4,997     ","4,727     ",270     ,5.4     
CN2909100000000,29,091,"Howell County, MO",2014,,"16,306     ","15,139     ","1,167     ",7.2     
CN2909300000000,29,093,"Iron County, MO",2014,,"3,933     ","3,543     ",390     ,9.9     
CN2909500000000,29,095,"Jackson County, MO",2014,,"358,058     ","332,475     ","25,583     ",7.1     
CN2909700000000,29,097,"Jasper County, MO",2014,,"57,838     ","54,767     ","3,071     ",5.3     
CN2909900000000,29,099,"Jefferson County, MO",2014,,"116,555     ","109,275     ","7,280     ",6.2     
CN2910100000000,29,101,"Johnson County, MO",2014,,"22,844     ","21,370     ","1,474     ",6.5     
CN2910300000000,29,103,"Knox County, MO",2014,,"1,974     ","1,883     ",91     ,4.6     
CN2910500000000,29,105,"Laclede County, MO",2014,,"15,933     ","14,640     ","1,293     ",8.1     
CN2910700000000,29,107,"Lafayette County, MO",2014,,"16,991     ","15,975     ","1,016     ",6.0     
CN2910900000000,29,109,"Lawrence County, MO",2014,,"17,507     ","16,472     ","1,035     ",5.9     
CN2911100000000,29,111,"Lewis County, MO",2014,,"5,167     ","4,897     ",270     ,5.2     
CN2911300000000,29,113,"Lincoln County, MO",2014,,"26,623     ","24,885     ","1,738     ",6.5     
CN2911500000000,29,115,"Linn County, MO",2014,,"5,231     ","4,803     ",428     ,8.2     
CN2911700000000,29,117,"Livingston County, MO",2014,,"7,321     ","6,951     ",370     ,5.1     
CN2911900000000,29,119,"McDonald County, MO",2014,,"10,308     ","9,709     ",599     ,5.8     
CN2912100000000,29,121,"Macon County, MO",2014,,"7,462     ","7,002     ",460     ,6.2     
CN2912300000000,29,123,"Madison County, MO",2014,,"5,510     ","5,129     ",381     ,6.9     
CN2912500000000,29,125,"Maries County, MO",2014,,"3,980     ","3,732     ",248     ,6.2     
CN2912700000000,29,127,"Marion County, MO",2014,,"14,655     ","13,842     ",813     ,5.5     
CN2912900000000,29,129,"Mercer County, MO",2014,,"1,873     ","1,778     ",95     ,5.1     
CN2913100000000,29,131,"Miller County, MO",2014,,"11,664     ","10,762     ",902     ,7.7     
CN2913300000000,29,133,"Mississippi County, MO",2014,,"6,280     ","5,819     ",461     ,7.3     
CN2913500000000,29,135,"Moniteau County, MO",2014,,"7,396     ","6,952     ",444     ,6.0     
CN2913700000000,29,137,"Monroe County, MO",2014,,"4,196     ","3,924     ",272     ,6.5     
CN2913900000000,29,139,"Montgomery County, MO",2014,,"5,698     ","5,359     ",339     ,5.9     
CN2914100000000,29,141,"Morgan County, MO",2014,,"7,979     ","7,286     ",693     ,8.7     
CN2914300000000,29,143,"New Madrid County, MO",2014,,"8,480     ","7,849     ",631     ,7.4     
CN2914500000000,29,145,"Newton County, MO",2014,,"28,484     ","26,941     ","1,543     ",5.4     
CN2914700000000,29,147,"Nodaway County, MO",2014,,"11,120     ","10,360     ",760     ,6.8     
CN2914900000000,29,149,"Oregon County, MO",2014,,"4,151     ","3,839     ",312     ,7.5     
CN2915100000000,29,151,"Osage County, MO",2014,,"7,237     ","6,899     ",338     ,4.7     
CN2915300000000,29,153,"Ozark County, MO",2014,,"3,669     ","3,342     ",327     ,8.9     
CN2915500000000,29,155,"Pemiscot County, MO",2014,,"7,112     ","6,448     ",664     ,9.3     
CN2915700000000,29,157,"Perry County, MO",2014,,"10,299     ","9,737     ",562     ,5.5     
CN2915900000000,29,159,"Pettis County, MO",2014,,"20,693     ","19,420     ","1,273     ",6.2     
CN2916100000000,29,161,"Phelps County, MO",2014,,"19,468     ","18,209     ","1,259     ",6.5     
CN2916300000000,29,163,"Pike County, MO",2014,,"8,162     ","7,696     ",466     ,5.7     
CN2916500000000,29,165,"Platte County, MO",2014,,"54,080     ","51,306     ","2,774     ",5.1     
CN2916700000000,29,167,"Polk County, MO",2014,,"14,138     ","13,237     ",901     ,6.4     
CN2916900000000,29,169,"Pulaski County, MO",2014,,"15,250     ","14,140     ","1,110     ",7.3     
CN2917100000000,29,171,"Putnam County, MO",2014,,"2,496     ","2,370     ",126     ,5.0     
CN2917300000000,29,173,"Ralls County, MO",2014,,"5,650     ","5,351     ",299     ,5.3     
CN2917500000000,29,175,"Randolph County, MO",2014,,"10,583     ","9,837     ",746     ,7.0     
CN2917700000000,29,177,"Ray County, MO",2014,,"11,155     ","10,391     ",764     ,6.8     
CN2917900000000,29,179,"Reynolds County, MO",2014,,"2,697     ","2,471     ",226     ,8.4     
CN2918100000000,29,181,"Ripley County, MO",2014,,"5,578     ","5,118     ",460     ,8.2     
CN2918300000000,29,183,"St. Charles County, MO",2014,,"212,528     ","202,249     ","10,279     ",4.8     
CN2918500000000,29,185,"St. Clair County, MO",2014,,"3,995     ","3,688     ",307     ,7.7     
CN2918600000000,29,186,"Ste. Genevieve County, MO",2014,,"9,094     ","8,489     ",605     ,6.7     
CN2918700000000,29,187,"St. Francois County, MO",2014,,"26,363     ","24,344     ","2,019     ",7.7     
CN2918900000000,29,189,"St. Louis County, MO",2014,,"530,152     ","499,201     ","30,951     ",5.8     
CN2919500000000,29,195,"Saline County, MO",2014,,"11,262     ","10,628     ",634     ,5.6     
CN2919700000000,29,197,"Schuyler County, MO",2014,,"1,893     ","1,753     ",140     ,7.4     
CN2919900000000,29,199,"Scotland County, MO",2014,,"2,398     ","2,282     ",116     ,4.8     
CN2920100000000,29,201,"Scott County, MO",2014,,"19,907     ","18,593     ","1,314     ",6.6     
CN2920300000000,29,203,"Shannon County, MO",2014,,"3,433     ","3,110     ",323     ,9.4     
CN2920500000000,29,205,"Shelby County, MO",2014,,"3,063     ","2,879     ",184     ,6.0     
CN2920700000000,29,207,"Stoddard County, MO",2014,,"13,173     ","12,143     ","1,030     ",7.8     
CN2920900000000,29,209,"Stone County, MO",2014,,"13,339     ","12,047     ","1,292     ",9.7     
CN2921100000000,29,211,"Sullivan County, MO",2014,,"2,745     ","2,564     ",181     ,6.6     
CN2921300000000,29,213,"Taney County, MO",2014,,"25,776     ","23,260     ","2,516     ",9.8     
CN2921500000000,29,215,"Texas County, MO",2014,,"9,450     ","8,703     ",747     ,7.9     
CN2921700000000,29,217,"Vernon County, MO",2014,,"9,851     ","9,295     ",556     ,5.6     
CN2921900000000,29,219,"Warren County, MO",2014,,"17,142     ","16,083     ","1,059     ",6.2     
CN2922100000000,29,221,"Washington County, MO",2014,,"10,485     ","9,586     ",899     ,8.6     
CN2922300000000,29,223,"Wayne County, MO",2014,,"5,663     ","5,241     ",422     ,7.5     
CN2922500000000,29,225,"Webster County, MO",2014,,"16,330     ","15,340     ",990     ,6.1     
CN2922700000000,29,227,"Worth County, MO",2014,,"1,297     ","1,244     ",53     ,4.1     
CN2922900000000,29,229,"Wright County, MO",2014,,"7,654     ","7,097     ",557     ,7.3     
CN2951000000000,29,510,"St. Louis city, MO",2014,,"160,427     ","148,209     ","12,218     ",7.6     
CN3000100000000,30,001,"Beaverhead County, MT",2014,,"4,900     ","4,720     ",180     ,3.7     
CN3000300000000,30,003,"Big Horn County, MT",2014,,"5,631     ","5,069     ",562     ,10.0     
CN3000500000000,30,005,"Blaine County, MT",2014,,"2,450     ","2,308     ",142     ,5.8     
CN3000700000000,30,007,"Broadwater County, MT",2014,,"2,518     ","2,383     ",135     ,5.4     
CN3000900000000,30,009,"Carbon County, MT",2014,,"5,426     ","5,215     ",211     ,3.9     
CN3001100000000,30,011,"Carter County, MT",2014,,692     ,669     ,23     ,3.3     
CN3001300000000,30,013,"Cascade County, MT",2014,,"38,548     ","36,893     ","1,655     ",4.3     
CN3001500000000,30,015,"Chouteau County, MT",2014,,"2,609     ","2,525     ",84     ,3.2     
CN3001700000000,30,017,"Custer County, MT",2014,,"6,636     ","6,423     ",213     ,3.2     
CN3001900000000,30,019,"Daniels County, MT",2014,,958     ,929     ,29     ,3.0     
CN3002100000000,30,021,"Dawson County, MT",2014,,"4,897     ","4,769     ",128     ,2.6     
CN3002300000000,30,023,"Deer Lodge County, MT",2014,,"5,274     ","5,045     ",229     ,4.3     
CN3002500000000,30,025,"Fallon County, MT",2014,,"2,087     ","2,047     ",40     ,1.9     
CN3002700000000,30,027,"Fergus County, MT",2014,,"5,783     ","5,535     ",248     ,4.3     
CN3002900000000,30,029,"Flathead County, MT",2014,,"44,051     ","41,223     ","2,828     ",6.4     
CN3003100000000,30,031,"Gallatin County, MT",2014,,"57,259     ","55,267     ","1,992     ",3.5     
CN3003300000000,30,033,"Garfield County, MT",2014,,753     ,733     ,20     ,2.7     
CN3003500000000,30,035,"Glacier County, MT",2014,,"5,996     ","5,364     ",632     ,10.5     
CN3003700000000,30,037,"Golden Valley County, MT",2014,,394     ,376     ,18     ,4.6     
CN3003900000000,30,039,"Granite County, MT",2014,,"1,537     ","1,433     ",104     ,6.8     
CN3004100000000,30,041,"Hill County, MT",2014,,"7,884     ","7,429     ",455     ,5.8     
CN3004300000000,30,043,"Jefferson County, MT",2014,,"5,668     ","5,408     ",260     ,4.6     
CN3004500000000,30,045,"Judith Basin County, MT",2014,,973     ,932     ,41     ,4.2     
CN3004700000000,30,047,"Lake County, MT",2014,,"12,576     ","11,874     ",702     ,5.6     
CN3004900000000,30,049,"Lewis and Clark County, MT",2014,,"35,449     ","34,135     ","1,314     ",3.7     
CN3005100000000,30,051,"Liberty County, MT",2014,,979     ,949     ,30     ,3.1     
CN3005300000000,30,053,"Lincoln County, MT",2014,,"7,973     ","7,082     ",891     ,11.2     
CN3005500000000,30,055,"McCone County, MT",2014,,"1,097     ","1,071     ",26     ,2.4     
CN3005700000000,30,057,"Madison County, MT",2014,,"4,259     ","4,063     ",196     ,4.6     
CN3005900000000,30,059,"Meagher County, MT",2014,,913     ,874     ,39     ,4.3     
CN3006100000000,30,061,"Mineral County, MT",2014,,"1,758     ","1,598     ",160     ,9.1     
CN3006300000000,30,063,"Missoula County, MT",2014,,"60,358     ","57,684     ","2,674     ",4.4     
CN3006500000000,30,065,"Musselshell County, MT",2014,,"2,377     ","2,281     ",96     ,4.0     
CN3006700000000,30,067,"Park County, MT",2014,,"8,121     ","7,667     ",454     ,5.6     
CN3006900000000,30,069,"Petroleum County, MT",2014,,286     ,274     ,12     ,4.2     
CN3007100000000,30,071,"Phillips County, MT",2014,,"2,007     ","1,900     ",107     ,5.3     
CN3007300000000,30,073,"Pondera County, MT",2014,,"2,861     ","2,721     ",140     ,4.9     
CN3007500000000,30,075,"Powder River County, MT",2014,,"1,083     ","1,050     ",33     ,3.0     
CN3007700000000,30,077,"Powell County, MT",2014,,"2,956     ","2,808     ",148     ,5.0     
CN3007900000000,30,079,"Prairie County, MT",2014,,518     ,496     ,22     ,4.2     
CN3008100000000,30,081,"Ravalli County, MT",2014,,"18,916     ","17,774     ","1,142     ",6.0     
CN3008300000000,30,083,"Richland County, MT",2014,,"7,376     ","7,200     ",176     ,2.4     
CN3008500000000,30,085,"Roosevelt County, MT",2014,,"4,853     ","4,603     ",250     ,5.2     
CN3008700000000,30,087,"Rosebud County, MT",2014,,"4,203     ","3,966     ",237     ,5.6     
CN3008900000000,30,089,"Sanders County, MT",2014,,"4,668     ","4,235     ",433     ,9.3     
CN3009100000000,30,091,"Sheridan County, MT",2014,,"2,144     ","2,087     ",57     ,2.7     
CN3009300000000,30,093,"Silver Bow County, MT",2014,,"17,132     ","16,289     ",843     ,4.9     
CN3009500000000,30,095,"Stillwater County, MT",2014,,"5,031     ","4,843     ",188     ,3.7     
CN3009700000000,30,097,"Sweet Grass County, MT",2014,,"1,794     ","1,731     ",63     ,3.5     
CN3009900000000,30,099,"Teton County, MT",2014,,"2,901     ","2,792     ",109     ,3.8     
CN3010100000000,30,101,"Toole County, MT",2014,,"2,363     ","2,292     ",71     ,3.0     
CN3010300000000,30,103,"Treasure County, MT",2014,,349     ,335     ,14     ,4.0     
CN3010500000000,30,105,"Valley County, MT",2014,,"4,392     ","4,260     ",132     ,3.0     
CN3010700000000,30,107,"Wheatland County, MT",2014,,788     ,749     ,39     ,4.9     
CN3010900000000,30,109,"Wibaux County, MT",2014,,555     ,538     ,17     ,3.1     
CN3011100000000,30,111,"Yellowstone County, MT",2014,,"79,990     ","77,024     ","2,966     ",3.7     
CN3100100000000,31,001,"Adams County, NE",2014,,"16,744     ","16,181     ",563     ,3.4     
CN3100300000000,31,003,"Antelope County, NE",2014,,"3,597     ","3,500     ",97     ,2.7     
CN3100500000000,31,005,"Arthur County, NE",2014,,224     ,212     ,12     ,5.4     
CN3100700000000,31,007,"Banner County, NE",2014,,437     ,421     ,16     ,3.7     
CN3100900000000,31,009,"Blaine County, NE",2014,,275     ,263     ,12     ,4.4     
CN3101100000000,31,011,"Boone County, NE",2014,,"3,028     ","2,950     ",78     ,2.6     
CN3101300000000,31,013,"Box Butte County, NE",2014,,"5,753     ","5,574     ",179     ,3.1     
CN3101500000000,31,015,"Boyd County, NE",2014,,"1,101     ","1,065     ",36     ,3.3     
CN3101700000000,31,017,"Brown County, NE",2014,,"1,422     ","1,373     ",49     ,3.4     
CN3101900000000,31,019,"Buffalo County, NE",2014,,"27,523     ","26,768     ",755     ,2.7     
CN3102100000000,31,021,"Burt County, NE",2014,,"3,588     ","3,448     ",140     ,3.9     
CN3102300000000,31,023,"Butler County, NE",2014,,"4,835     ","4,693     ",142     ,2.9     
CN3102500000000,31,025,"Cass County, NE",2014,,"13,257     ","12,766     ",491     ,3.7     
CN3102700000000,31,027,"Cedar County, NE",2014,,"4,675     ","4,567     ",108     ,2.3     
CN3102900000000,31,029,"Chase County, NE",2014,,"2,351     ","2,303     ",48     ,2.0     
CN3103100000000,31,031,"Cherry County, NE",2014,,"3,420     ","3,337     ",83     ,2.4     
CN3103300000000,31,033,"Cheyenne County, NE",2014,,"5,757     ","5,632     ",125     ,2.2     
